Movie Name,Storyline,Processed_Storyline
136. The Luckiest Man in America,May 1984. An unemployed ice cream truck driver steps onto the game show Press Your Luck harboring a secret: the key to endless money. But his winning streak is threatened when the bewildered executives uncover his real motivations.,may unemploy ice cream truck driver step onto game show press luck harbor secret key endless money win streak threaten bewild execut uncov real motiv
137. Terrifier 3,Art the Clown is set to unleash chaos on the unsuspecting residents of Miles County as they peacefully drift off to sleep on Christmas Eve.,art clown set unleash chao unsuspect resid mile counti peac drift sleep christma eve
138. Emilia Pérez,"It follows three remarkable women in Mexico, each pursuing their own happiness. Cartel leader Emilia enlists unappreciated lawyer Rita to help fake her death so that she can finally live authentically as her true self.",follow three remark women mexico pursu happi cartel leader emilia enlist unappreci lawyer rita help fake death final live authent true self
139. Ricky Stanicky,"When three childhood best friends pull a prank that goes wrong, they invent the imaginary Ricky Stanicky to get them out of trouble. Twenty years later, they still use the nonexistent Ricky as a handy alibi for their immature behavior.",three childhood best friend pull prank goe wrong invent imaginari ricki stanicki get troubl twenti year later still use nonexist ricki handi alibi immatur behavior
140. The Six Triple Eight,"During World War II, 855 women joined the fight to fix the three-year backlog of undelivered mail. Faced with discrimination and a country devastated by war, they managed to sort more than 17 million pieces of mail ahead of time.",world war ii women join fight fix threeyear backlog undeliv mail face discrimin countri devast war manag sort million piec mail ahead time
141. Don't Move,"A seasoned killer injects a grieving woman with a paralytic agent. She must run, fight and hide before her body shuts down.",season killer inject griev woman paralyt agent must run fight hide bodi shut
142. Drive-Away Dolls,"Jamie regrets her breakup with her girlfriend, while Marian needs to relax. In search of a fresh start, they embark on an unexpected road trip to Tallahassee. Things quickly go awry when they cross paths with a group of inept criminals.",jami regret breakup girlfriend marian need relax search fresh start embark unexpect road trip tallahasse thing quickli go awri cross path group inept crimin
143. Longing,A business mogul runs into his old small town girlfriend while she is visiting the big city only to find out that they had a child together that he was unaware of. Based on an award-winning foreign language film.,busi mogul run old small town girlfriend visit big citi find child togeth unawar base awardwin foreign languag film
144. Horizon: An American Saga - Chapter 2,The continuation of one story of the settlement of the American west. It follows the further adventures of characters first featured in Horizon: An American Saga.,continu one stori settlement american west follow adventur charact first featur horizon american saga
145. Better Man,"A singular profile of pop superstar Robbie Williams, chronicling his meteoric rise, dramatic fall, and remarkable resurgence.",singular profil pop superstar robbi william chronicl meteor rise dramat fall remark resurg
146. Sleeping Dogs,"An ex-homicide detective with memory loss is forced to solve a brutal murder, only to uncover chilling secrets from his forgotten past.",exhomicid detect memori loss forc solv brutal murder uncov chill secret forgotten past
147. Emmanuelle,"In search of a lost pleasure, Emmanuelle travels alone to Hong Kong on a business mission. In the vibrant and sensual global city, she indulges in intense encounters and new experiences.",search lost pleasur emmanuel travel alon hong kong busi mission vibrant sensual global citi indulg intens encount new experi
148. Brothers,"Two criminal twin brothers, one who is trying to reform, embark on a dangerous heist road trip. Facing legal troubles, gunfights, and family drama, they must reconcile their differences before their mission leads to self-destruction.",two crimin twin brother one tri reform embark danger heist road trip face legal troubl gunfight famili drama must reconcil differ mission lead selfdestruct
149. The Penguin Lessons,A disillusioned Englishman who goes to work in a school in a divided Argentina in 1976 finds his life transformed when he rescues an orphaned penguin from the beach.,disillus englishman goe work school divid argentina find life transform rescu orphan penguin beach
150. King Ivory,"Based upon extensive research with law enforcement, gangs, inmates, migrants, and addicts, an exposé on fentanyl trafficking, and its effect on all walks of life.",base upon extens research law enforc gang inmat migrant addict exposé fentanyl traffick effect walk life
151. Attack on Titan the Movie: The Last Attack,"The fate of the world hangs in the balance as Eren unleashes the ultimate power of the Titans. With a burning determination to eliminate all who threaten Eldia, he leads an unstoppable army of Colossal Titans towards Marley.",fate world hang balanc eren unleash ultim power titan burn determin elimin threaten eldia lead unstopp armi coloss titan toward marley
152. 2073,A woman living in a ruined Earth tries to comprehend how the world was destroyed.,woman live ruin earth tri comprehend world destroy
153. Four Letters of Love,"Based on Niall Williams' best-selling novel. Nicholas and Isabel were made for each other but how will they ever know it? As ghosts, fate and the sheer power of true love pull them together, so too does life threaten to tear them apart.",base niall william bestsel novel nichola isabel made ever know ghost fate sheer power true love pull togeth life threaten tear apart
154. Paddington in Peru,"Paddington returns to Peru to visit his beloved Aunt Lucy, who now resides at the Home for Retired Bears. With the Brown family in tow, a thrilling adventure ensues when a mystery plunges them into an unexpected journey.",paddington return peru visit belov aunt luci resid home retir bear brown famili tow thrill adventur ensu mysteri plung unexpect journey
155. Hellboy: The Crooked Man,"Hellboy and a rookie B.P.R.D. agent in the 1950s are sent to the Appalachians, where they discover a remote community dominated by witches and led by the sinister local demon, the Crooked Man.",hellboy rooki bprd agent sent appalachian discov remot commun domin witch led sinist local demon crook man
156. K-Pops!,"Follows a washed-up musician who jumps at the chance to capitalize on his long-lost son's stardom for his own renaissance, but learns that fatherhood is much more than stardom.",follow washedup musician jump chanc capit longlost son stardom renaiss learn fatherhood much stardom
157. The Surfer,"A man returns to the idyllic beach of his childhood to surf with his son. When he is humiliated by a group of locals, the man is drawn into a conflict that keeps rising and pushes him to his breaking point.",man return idyl beach childhood surf son humili group local man drawn conflict keep rise push break point
158. Bird,"Bailey lives with her brother Hunter and her father Bug, who raises them alone in a squat in northern Kent. Bug doesn't have much time to devote to them. Bailey looks for attention and adventure elsewhere.",bailey live brother hunter father bug rais alon squat northern kent bug doesnt much time devot bailey look attent adventur elsewher
159. The Unholy Trinity,Buried secrets of an 1870s Montana town spark violence when a young man returns to reclaim his legacy and is caught between a sheriff determined to maintain order and a mysterious stranger hell-bent on destroying it.,buri secret montana town spark violenc young man return reclaim legaci caught sheriff determin maintain order mysteri stranger hellbent destroy
160. Mean Girls,"Cady Heron is a hit with the Plastics, an A-list girl clique at her new school. But everything changes when she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",cadi heron hit plastic alist girl cliqu new school everyth chang make mistak fall aaron samuel exboyfriend alpha plastic regina georg
161. Nickel Boys,A powerful friendship develops between two young Black men as they navigate the harrowing trials of reform school together.,power friendship develop two young black men navig harrow trial reform school togeth
162. 40 Acres,"In a post-apocalyptic world with food scarcity, a Black family of Canadian farmers descended from American Civil War migrants defend their homestead against cannibals trying to seize their resources.",postapocalypt world food scarciti black famili canadian farmer descend american civil war migrant defend homestead cannib tri seiz resourc
163. Long Distance,"It follows an asteroid miner who, after crash-landing on an alien planet, must make his way across the harsh terrain, running out of oxygen, hunted by strange creatures, to the only other survivor.",follow asteroid miner crashland alien planet must make way across harsh terrain run oxygen hunt strang creatur survivor
164. Ghost Train,A YouTuber with the lowest number of views meets the station master of a mysterious subway station to find the source of a true horror story and encounters several strange stories.,youtub lowest number view meet station master mysteri subway station find sourc true horror stori encount sever strang stori
165. Anaconda,"A re-interpretation of the iconic '90s creature feature, in which a group of circus athletes - having found themselves stranded in a rain forest - come face-to-face with the elements, a bloodthirsty poacher, and a formidable giant snake.",reinterpret icon creatur featur group circu athlet found strand rain forest come facetofac element bloodthirsti poacher formid giant snake
166. The Girl with the Needle,"Copenhagen 1919: A young worker finds herself unemployed and pregnant. She meets Dagmar, who runs an underground adoption agency. A strong connection grows but her world shatters when she stumbles on the shocking truth behind her work.",copenhagen young worker find unemploy pregnant meet dagmar run underground adopt agenc strong connect grow world shatter stumbl shock truth behind work
167. Uglies,A world in which a compulsory operation wipes out physical differences and makes everyone pretty.,world compulsori oper wipe physic differ make everyon pretti
168. Damaged,Chicago detective Dan Lawson travels to Scotland to link up with Scottish detective Glen Boyd following the resurgence of a serial killer whose crimes match an unsolved case he investigated 5 years previously.,chicago detect dan lawson travel scotland link scottish detect glen boyd follow resurg serial killer whose crime match unsolv case investig year previous
169. Love Me Dead,"Reclusive mortician Issac forms bond with waitress Cassi. After harrowing incident, they embark on a path of revenge, blurring lines between reality and fiction in this psychological thriller's tense narrative.",reclus mortician issac form bond waitress cassi harrow incid embark path reveng blur line realiti fiction psycholog thriller tens narr
170. Maria,"Maria Callas, the world's greatest opera singer, lives the last days of her life in 1970s Paris, as she confronts her identity.",maria calla world greatest opera singer live last day life pari confront ident
171. My Old Ass,"A mushroom trip brings free-spirited Elliott face-to-face with her 39-year-old self. But when Elliott's ""old ass"" delivers warnings to her younger self, Elliott realizes she has to rethink everything about her family, life and love.",mushroom trip bring freespirit elliott facetofac yearold self elliott old ass deliv warn younger self elliott realiz rethink everyth famili life love
172. The Last Showgirl,A seasoned showgirl must plan for her future when her show abruptly closes after a 30-year run.,season showgirl must plan futur show abruptli close year run
173. A Family Affair,"A surprising romance kicks off comic consequences for a young woman, her mother, and her movie-star boss as they face the complications of love, sex, and identity.",surpris romanc kick comic consequ young woman mother moviestar boss face complic love sex ident
174. Lift,A female master thief and her ex-boyfriend who works for the FBI team up to steal $100M worth of gold bullion being transported on a 777 passenger flight from London to Zurich.,femal master thief exboyfriend work fbi team steal worth gold bullion transport passeng flight london zurich
175. The Union,"Construction worker Mike is thrust into the world of espionage when his high school sweetheart, Roxanne, recruits him for a high-stakes intelligence mission.",construct worker mike thrust world espionag high school sweetheart roxann recruit highstak intellig mission
176. Mothers' Instinct,"Alice and Celine live a traditional lifestyle with successful husbands and sons of the same age. Life's perfect harmony is suddenly shattered after a tragic accident. Guilt, suspicion and paranoia combine to unravel their sisterly bond.",alic celin live tradit lifestyl success husband son age life perfect harmoni suddenli shatter tragic accid guilt suspicion paranoia combin unravel sisterli bond
177. Cuckoo,A 17-year-old is forced to move with her family to a resort where things are not what they seem.,yearold forc move famili resort thing seem
178. Nr. 24,"Young apprentice Gunnar Sønsteby from Rjukan decides to resist Nazi-Germany on the day of the invasion to later become the leader of the ""Oslo-gang"" carrying out countless daring acts of sabotage making him Norway's greatest war hero.",young apprentic gunnar sønstebi rjukan decid resist nazigermani day invas later becom leader oslogang carri countless dare act sabotag make norway greatest war hero
179. Arcadian,A father and his twin teenage sons fight to survive in a remote farmhouse at the end of the world.,father twin teenag son fight surviv remot farmhous end world
180. Monkey Man,An anonymous young man unleashes a campaign of vengeance against the corrupt leaders who murdered his mother and continue to systematically victimize the poor and powerless.,anonym young man unleash campaign vengeanc corrupt leader murder mother continu systemat victim poor powerless
181. William Tell,"The narrative unfolds in the 14th Century amidst the days of the Holy Roman Empire where Europe's nations fiercely vie for supremacy and the ambitious Austrians, desiring more land, encroach upon Switzerland, a serene and pastoral nation.",narr unfold th centuri amidst day holi roman empir europ nation fierc vie supremaci ambiti austrian desir land encroach upon switzerland seren pastor nation
182. Billy Preston: That's the Way God Planned It,Follows the story and challenging life of legendary musician and genius keyboardist Billy Preston.,follow stori challeng life legendari musician geniu keyboardist billi preston
183. Role Play,"Emma has a wonderful husband and two kids in the suburbs of New Jersey. She also has a secret life as an assassin for hire, a secret that her husband Dave discovers when the couple decide to spice up their marriage with a little role play.",emma wonder husband two kid suburb new jersey also secret life assassin hire secret husband dave discov coupl decid spice marriag littl role play
184. The Hunted,"After their boat engine fails in the Mediterranean Sea, a group of refugees are rescued by rich Europeans who offer them shelter on an idyllic island. But the miracle becomes a nightmare when the saviours turn into ruthless manhunters.",boat engin fail mediterranean sea group refuge rescu rich european offer shelter idyl island miracl becom nightmar saviour turn ruthless manhunt
185. Bob Trevino Likes It,"When lonely 20-something Lily Trevino accidentally befriends a stranger online who shares the same name as her own self-centered father, encouragement and support from this new Bob Trevino could change her life.",lone someth lili trevino accident befriend stranger onlin share name selfcent father encourag support new bob trevino could chang life
186. How to Make a Killing,"After a fatal car crash, Michel flees the scene. His passenger commits suicide. Michel and wife Cathy find EUR2M in a bag while covering up the incident, leading to a series of chaotic events.",fatal car crash michel flee scene passeng commit suicid michel wife cathi find eurm bag cover incid lead seri chaotic event
187. The Crow,"Soulmates Eric and Shelly are brutally murdered. Given a chance to save the love of his life, Eric must sacrifice himself and traverse the worlds of the living and the dead, seeking revenge.",soulmat eric shelli brutal murder given chanc save love life eric must sacrific travers world live dead seek reveng
188. The Room Next Door,"Ingrid and Martha were close friends in their youth, when they worked together at the same magazine. After years of being out of touch, they meet again in an extreme but strangely sweet situation.",ingrid martha close friend youth work togeth magazin year touch meet extrem strang sweet situat
189. Memoir of a Snail,"A bittersweet memoir of a melancholic woman called Grace Pudel - a hoarder of snails, romance novels, and guinea pigs.",bittersweet memoir melanchol woman call grace pudel hoarder snail romanc novel guinea pig
190. Look Back,"The overly confident Fujino and the shut-in Kyomoto couldn't be more different, but a love of drawing manga brings these two small-town girls together.",overli confid fujino shutin kyomoto couldnt differ love draw manga bring two smalltown girl togeth
191. The Seed of the Sacred Fig,"An investigating judge struggles with paranoia amid political unrest in Tehran caused by the death of a young woman. When his gun goes missing, he suspects his wife and daughters, imposing harsh measures that fray family ties.",investig judg struggl paranoia amid polit unrest tehran caus death young woman gun goe miss suspect wife daughter impos harsh measur fray famili tie
192. No Other Land,This film made by a Palestinian-Israeli collective shows the destruction of the occupied West Bank's Masafer Yatta by Israeli soldiers and the alliance which develops between the Palestinian activist Basel and Israeli journalist Yuval.,film made palestinianisra collect show destruct occupi west bank masaf yatta isra soldier allianc develop palestinian activist basel isra journalist yuval
193. Blitz,The stories of a group of Londoners during the German bombing campaign of the British capital during World War II.,stori group london german bomb campaign british capit world war ii
194. My Spy: The Eternal City,"JJ, a veteran CIA agent, reunites with his protégé Sophie, in order to prevent a catastrophic nuclear scheme threatening Vatican City, which disrupts a high school choir trip to Italy.",jj veteran cia agent reunit protégé sophi order prevent catastroph nuclear scheme threaten vatican citi disrupt high school choir trip itali
195. 2B Honest,"Murder, love, insurance policies. On the run from the law, Kato Roberts stumbles into a secret community that throws him into a world of chaos.",murder love insur polici run law kato robert stumbl secret commun throw world chao
196. El 47,"Inspired on the true story of Manolo Vital, a bus driver who helped create the modern Barcelona during the 1970s city's boom.",inspir true stori manolo vital bu driver help creat modern barcelona citi boom
197. Hunting Matthew Nichols,"Two decades after her brother mysteriously disappeared on Vancouver Island, a documentary filmmaker sets out to solve his missing person's case. When a disturbing piece of evidence is revealed, she comes to believe he might still be alive.",two decad brother mysteri disappear vancouv island documentari filmmak set solv miss person case disturb piec evid reveal come believ might still aliv
198. The Outrun,"After living life on the edge in London, Rona attempts to come to terms with her troubled past. Hoping to heal, she returns to the wild beauty of Scotland's Orkney Islands where she grew up.",live life edg london rona attempt come term troubl past hope heal return wild beauti scotland orkney island grew
199. Kneecap,"When fate brings Belfast teacher JJ into the orbit of self-confessed ""low life scum"" Naoise and Liam Óg, the needle drops on a hip hop act like no other. Rapping in their native Irish, they lead a movement to save their mother tongue.",fate bring belfast teacher jj orbit selfconfess low life scum naois liam óg needl drop hip hop act like rap nativ irish lead movement save mother tongu
200. Secret Mall Apartment,"In 2003, eight Rhode Islanders created a secret apartment inside a busy mall and lived there for four years, filming everything along the way. Far more than a prank, the secret apartment became a deeply meaningful place for all involved.",eight rhode island creat secret apart insid busi mall live four year film everyth along way far prank secret apart becam deepli meaning place involv
201. In a Violent Nature,"When a locket is removed from a collapsed fire tower in the woods that entombs the rotting corpse of Johnny, a vengeful spirit spurred on by a horrific 70-year old crime, his body is resurrected and becomes hellbent on retrieving it.",locket remov collaps fire tower wood entomb rot corps johnni veng spirit spur horrif year old crime bodi resurrect becom hellbent retriev
202. The Fable,"After discovering burned trees in his orchards, a wealthy landowner grows suspicious of his workers and nomads passing through his vast estate.",discov burn tree orchard wealthi landown grow suspici worker nomad pass vast estat
203. How to Make Millions Before Grandma Dies,"A man, driven by his desire for a multi-million dollar inheritance, begins to care for his terminally ill grandmother. However, winning her favor will not be an easy task and he is not the only one with an eye on the money.",man driven desir multimillion dollar inherit begin care termin ill grandmoth howev win favor easi task one eye money
204. Souleymane's Story,A Paris food delivery cyclist and asylum seeker named Souleymane has two days to prepare his story for a make-or-break interview to secure legal residency.,pari food deliveri cyclist asylum seeker name souleyman two day prepar stori makeorbreak interview secur legal resid
205. The Wonderful Story of Henry Sugar and Three More,Four tales unfold in writer-director Wes Anderson's anthology of short films adapted from Roald Dahl's beloved stories.,four tale unfold writerdirector we anderson antholog short film adapt roald dahl belov stori
206. Thelma,"When 93-year-old Thelma Post gets duped by a phone scammer pretending to be her grandson, she sets out on a treacherous quest across the city to reclaim what was taken from her.",yearold thelma post get dupe phone scammer pretend grandson set treacher quest across citi reclaim taken
207. A Nice Indian Boy,"When Naveen brings his fiancé Jay home to meet his traditional Indian family, they must contend with accepting his white-orphan-artist boyfriend and helping them plan the Indian wedding of their dreams.",naveen bring fiancé jay home meet tradit indian famili must contend accept whiteorphanartist boyfriend help plan indian wed dream
208. The Deliverance,"An Indiana family discovers strange, demonic occurrences that convince them and their community that the house is a portal to hell.",indiana famili discov strang demon occurr convinc commun hous portal hell
209. Riff Raff,A former criminal's ordinary life is turned upside down when his old family shows up for a long-awaited reunion.,former crimin ordinari life turn upsid old famili show longawait reunion
210. Night Swim,"A family moves into a new home, unaware that a dark secret from the house's past will unleash a malevolent force in the backyard pool.",famili move new home unawar dark secret hous past unleash malevol forc backyard pool
211. Beverly Hills Cop: Axel F,Axel Foley returns to Beverly Hills after his daughter's life is threatened for a family reunion that includes old pals John Taggart and Billy Rosewood to uncover a conspiracy.,axel foley return beverli hill daughter life threaten famili reunion includ old pal john taggart billi rosewood uncov conspiraci
212. Descendants: The Rise of Red,"After the Queen of Hearts incites a coup in Auradon, her rebellious daughter, Red, and Cinderella's perfectionist daughter, Chloe, must team up and travel in time to undo the traumatic event that drove a young Queen of Hearts to villainy.",queen heart incit coup auradon rebelli daughter red cinderella perfectionist daughter chloe must team travel time undo traumat event drove young queen heart villaini
213. Snack Shack,"Nebraska City, 1991, two best friends get the chance to run the swimming pool snack shack, that later comes to be the perfect scenario for transgression, fun, personal discovery and romance.",nebraska citi two best friend get chanc run swim pool snack shack later come perfect scenario transgress fun person discoveri romanc
214. The Salt Path,A couple lose their home and later discover the husband has been diagnosed with a terminal illness as they embark on a year long coastal trek.,coupl lose home later discov husband diagnos termin ill embark year long coastal trek
215. Misgivings,"A suburban woman's solo road trip reveals shocking truths about her life and husband, with authentic storytelling and immersive character development in 'Misgivings'.",suburban woman solo road trip reveal shock truth life husband authent storytel immers charact develop misgiv
216. Paul Anka: His Way,"Born in Ottawa to immigrants, Anka exhibited early musical talent. At 16, he ambitiously headed to New York . Unlike other teen idols, he wrote his own songs. His multi-genre, multi-decade success resonates across generations.",born ottawa immigr anka exhibit earli music talent ambiti head new york unlik teen idol wrote song multigenr multidecad success reson across gener
217. Arthur the King,An adventure racer adopts a stray dog named Arthur to join him in an epic endurance race.,adventur racer adopt stray dog name arthur join epic endur race
218. Sketch,"When a young girl's sketchbook falls into a strange pond, her drawings come to life-chaotic, real and on the loose. As the town descends into chaos, her family must reunite and stop the monsters they never meant to unleash.",young girl sketchbook fall strang pond draw come lifechaot real loos town descend chao famili must reunit stop monster never meant unleash
219. Dreams,"Johanne documents her intense crush on her french teacher. Her mother, grandmother end up reading these intimate writings. They're both horrified by the contents but taken by the powerful writing and story. Johanne navigates romantic ideals vs reality, exploring emotions of self-discovery, love, sexuality.",johann document intens crush french teacher mother grandmoth end read intim write theyr horrifi content taken power write stori johann navig romant ideal vs realiti explor emot selfdiscoveri love sexual
220. The Rule of Jenny Pen,"Confined to a secluded rest home and trapped within his stroke-ridden body, a former Judge must stop an elderly psychopath who employs a child's puppet to abuse the home's residents with deadly consequences.",confin seclud rest home trap within strokeridden bodi former judg must stop elderli psychopath employ child puppet abus home resid deadli consequ
221. Mahavatar Narsimha,The demon Hiranyakashyap seeks revenge on Vishnu and declares himself a god. His son Prahlad remains devoted to Vishnu. Vishnu manifests as Narsimha to defeat the demon and restore balance.,demon hiranyakashyap seek reveng vishnu declar god son prahlad remain devot vishnu vishnu manifest narsimha defeat demon restor balanc
222. The First Omen,"A young American woman is sent to Rome to begin a life of service to the church, but encounters a darkness that causes her to question her faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate.",young american woman sent rome begin life servic church encount dark caus question faith uncov terrifi conspiraci hope bring birth evil incarn
223. The Thinking Game,"Chronicles visionary scientist Demis Hassabis' relentless pursuit to crack artificial general intelligence, a journey of extraordinary perseverance.",chronicl visionari scientist demi hassabi relentless pursuit crack artifici gener intellig journey extraordinari persever
224. Young Woman and the Sea,"The story of competitive swimmer Gertrude Ederle, who, in 1926, was the first woman to ever swim across the English Channel.",stori competit swimmer gertrud ederl first woman ever swim across english channel
225. The Killer,"After being betrayed by her master, a disillusioned assassin takes one final shot with the intention of using the money to help a musician she accidentally blinded regain vision.",betray master disillus assassin take one final shot intent use money help musician accident blind regain vision
226. Time Cut,High school student accidentally travels back to 2003 and decides to stop the serial killer who murdered her sister.,high school student accident travel back decid stop serial killer murder sister
227. Solo Leveling: ReAwakening,"Over a decade after 'gates' connecting worlds appeared, awakening 'hunters' with superpowers, weakest hunter Sung Jinwoo encounters a double dungeon and accepts a mysterious quest, becoming the only one able to level up, changing his fate.",decad gate connect world appear awaken hunter superpow weakest hunter sung jinwoo encount doubl dungeon accept mysteri quest becom one abl level chang fate
228. U Are the Universe,"After Earth explodes, Ukrainian space trucker Andriy Melnyk becomes the last person in the universe until he receives a call from Catherine, a French woman on a distant space station. Despite the obstacles, Andriy decides to find her.",earth explod ukrainian space trucker andriy melnyk becom last person univers receiv call catherin french woman distant space station despit obstacl andriy decid find
229. Hide N Seek,"Vaishnavi, a determined investigator, discovers a disturbing link between multiple murders, taking her on a dangerous quest to unveil a dark conspiracy in this gripping Indian crime drama.",vaishnavi determin investig discov disturb link multipl murder take danger quest unveil dark conspiraci grip indian crime drama
230. Barron's Cove,"After his son is killed, a father abducts the child responsible, hellbent on revenge.",son kill father abduct child respons hellbent reveng
231. Rebel Moon - Part Two: The Scargiver,"Kora and surviving warriors prepare to defend Veldt, their new home, alongside its people against the Realm. The warriors face their pasts, revealing their motivations before the Realm's forces arrive to crush the growing rebellion.",kora surviv warrior prepar defend veldt new home alongsid peopl realm warrior face past reveal motiv realm forc arriv crush grow rebellion
232. The Exorcism,A troubled actor begins to exhibit a disruptive behavior while shooting a horror film. His estranged daughter wonders if he's slipping back into his past addictions or if there's something more sinister at play.,troubl actor begin exhibit disrupt behavior shoot horror film estrang daughter wonder he slip back past addict there someth sinist play
233. All We Imagine as Light,"In Mumbai, Nurse Prabha's routine is troubled when she receives an unexpected gift from her estranged husband. Her younger roommate, Anu, tries in vain to find a spot in the city to be intimate with her boyfriend.",mumbai nurs prabha routin troubl receiv unexpect gift estrang husband younger roommat anu tri vain find spot citi intim boyfriend
234. Young Hearts,Elias develops feelings for his new neighbor Alexander. He soon realizes he's falling in love for the first time.,elia develop feel new neighbor alexand soon realiz he fall love first time
235. Lisa Frankenstein,"A coming of RAGE love story about a teenager and her crush, who happens to be a corpse. After a set of horrific circumstances bring him back to life, the two embark on a journey to find love, happiness - and a few missing body parts.",come rage love stori teenag crush happen corps set horrif circumst bring back life two embark journey find love happi miss bodi part
236. Afraid,The Pike family is selected to test a new home device: a digital assistant called AIA. AIA learns the family's behaviors and begins to anticipate their needs. And she can make sure nothing - and no one - gets in her family's way.,pike famili select test new home devic digit assist call aia aia learn famili behavior begin anticip need make sure noth one get famili way
237. Culpa tuya,"Despite their parents' efforts to separate them, Noah and Nick's love seems unbreakable. However, work and college open their lives to new relationships.",despit parent effort separ noah nick love seem unbreak howev work colleg open live new relationship
238. Saali Mohabbat,"A housewife gets entangled in a tale of infidelity, deceit, and murder.",housewif get entangl tale infidel deceit murder
239. Rich Flu,Explores how far people would go to save themselves when the wealth that made the world go round then becomes its most dangerous commodity after a strange disease threatens to kill anyone with any sort of fortune.,explor far peopl would go save wealth made world go round becom danger commod strang diseas threaten kill anyon sort fortun
240. Azrael,"In a world where no one speaks, a devout female-led community hunts down a young woman who has escaped imprisonment. Recaptured, Azrael is due to be sacrificed to an ancient evil in the wilderness, but fights for her own survival.",world one speak devout femalel commun hunt young woman escap imprison recaptur azrael due sacrif ancient evil wilder fight surviv
241. The Day the Earth Blew Up: A Looney Tunes Movie,Porky Pig and Daffy Duck are Earth's only hope when facing the threat of alien invasion.,porki pig daffi duck earth hope face threat alien invas
242. Unstoppable,"Centers around the life of wrestler Anthony Robles, who was born with one leg and won a national championship in 2011 while competing at Arizona State University.",center around life wrestler anthoni robl born one leg nation championship compet arizona state univers
243. Y2K,Two high-school nobodies make the decision to crash a Y2K party. The night becomes even crazier than they could have ever dreamed when the clock strikes midnight.,two highschool nobodi make decis crash yk parti night becom even crazier could ever dream clock strike midnight
244. The Beldham,"A struggling new mother fights a generations-old presence lurking within her family home, threatening her safety, her sanity, and the life of her infant child.",struggl new mother fight generationsold presenc lurk within famili home threaten safeti saniti life infant child
245. Absolution,"An aging gangster attempts to reconnect with his children and rectify the mistakes in his past, but the criminal underworld won't loosen their grip willingly.",age gangster attempt reconnect children rectifi mistak past crimin underworld wont loosen grip willingli
246. Apartment 7A,"A struggling young dancer finds herself drawn in by dark forces when a peculiar, well-connected older couple promise her a shot at fame.",struggl young dancer find drawn dark forc peculiar wellconnect older coupl promis shot fame
247. Dirty Angels,It centers on a group of female soldiers who disguise themselves as medics to rescue a group of teenagers caught between ISIS and the forces of the Taliban.,center group femal soldier disguis medic rescu group teenag caught isi forc taliban
248. Bramayugam,"Thevan, a folk singer of the Paanan caste, has a fateful encounter when escaping slavery, leading to him discovering an ancient traditional mansion altering his destiny.",thevan folk singer paanan cast fate encount escap slaveri lead discov ancient tradit mansion alter destini
249. Bob Marley: One Love,"The story of how reggae icon Bob Marley overcame adversity, and the journey behind his revolutionary music.",stori regga icon bob marley overcam advers journey behind revolutionari music
250. Canary Black,It follows Avery Graves as she is blackmailed by terrorists into betraying her own country to save her kidnapped husband.,follow averi grave blackmail terrorist betray countri save kidnap husband
251. One Fast Move,"A young man seeks out his estranged father to pursue his dream of becoming a professional motorcycle racer. With help from his love interest and a motorcycle shop owner, he begins to break down the walls his father's absence had created.",young man seek estrang father pursu dream becom profession motorcycl racer help love interest motorcycl shop owner begin break wall father absenc creat
252. Turtles All the Way Down,A teenager with OCD tries to solve a mystery surrounding a fugitive billionaire.,teenag ocd tri solv mysteri surround fugit billionair
253. F*** Marry Kill,"As a serial killer targets women on dating apps, a true-crime junkie must figure out which of her three dates is a f-boy, marriage material, or is trying to kill her.",serial killer target women date app truecrim junki must figur three date fboy marriag materi tri kill
254. Jackpot!,"In the near future, a 'Grand Lottery' has been newly established in California - the catch: kill the winner before sundown to legally claim their multi-billion dollar jackpot.",near futur grand lotteri newli establish california catch kill winner sundown legal claim multibillion dollar jackpot
255. MadS,"A teenager stops off to see his dealer to test a new drug before heading off for a night of partying. On the way home, he picks up an injured woman and the night takes a surreal turn.",teenag stop see dealer test new drug head night parti way home pick injur woman night take surreal turn
256. Girls Will Be Girls,"At a strict boarding school nestled in the Himalayan foothills, 18-year-old Mira first discovers desire and romance. However, her curious, rebellious, coming-of-age is disrupted by her young mother, who never got to come of age herself.",strict board school nestl himalayan foothil yearold mira first discov desir romanc howev curiou rebelli comingofag disrupt young mother never got come age
257. Killer Heat,"Follows twin brothers who find themselves in a dangerous love triangle on an isolated Greek island. The investigation is given to ""The Jealousy Man,"" a wounded detective.",follow twin brother find danger love triangl isol greek island investig given jealousi man wound detect
258. Atlas,"In a bleak-sounding future, an A.I. soldier has determined that the only way to end war is to end humanity.",bleaksound futur ai soldier determin way end war end human
259. The Shrouds,"Karsh, an innovative businessman and grieving widower, builds a device to connect with the dead inside a burial shroud.",karsh innov businessman griev widow build devic connect dead insid burial shroud
260. Unfrosted,"In 1963 Michigan, business rivals Kellogg's and Post compete to create a cake that could change breakfast forever.",michigan busi rival kellogg post compet creat cake could chang breakfast forev
261. Witchboard,"A cursed Witchboard awakens dark forces, dragging a young couple into a deadly game of possession and deception",curs witchboard awaken dark forc drag young coupl deadli game possess decept
